"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"15000","8","CA25N","10","2001","Total employment","Hawaii state total",766227,758058,774603,797427,822245,843333,867871,862887,835643,831946,843431
"15000","8","CA25N","20","2001","  Wage and salary employment","Hawaii state total",628086,630405,642830,658892,675401,691920,700378,695721,668418,665430,674452
"15000","8","CA25N","40","2001","  Proprietors employment","Hawaii state total",138141,127653,131773,138535,146844,151413,167493,167166,167225,166516,168979
"15000","8","CA25N","50","2001","    Farm proprietors employment","Hawaii state total",5236,4795,4719,4604,4605,4513,6155,6089,6063,6081,6086
"15000","8","CA25N","60","2001","    Nonfarm proprietors employment 2/","Hawaii state total",132905,122858,127054,133931,142239,146900,161338,161077,161162,160435,162893
"15000","8","CA25N","70","2001","  Farm employment","Hawaii state total",12289,11962,11917,11596,11396,11304,12486,11911,11762,12168,12894
"15000","8","CA25N","80","2001","  Nonfarm employment","Hawaii state total",753938,746096,762686,785831,810849,832029,855385,850976,823881,819778,830537
"15000","8","CA25N","90","2001","    Private nonfarm employment","Hawaii state total",586499,576209,591048,612373,638405,657167,679045,670605,642669,637813,647415
"15000","8","CA25N","100","2001","      Forestry, fishing, and related activities","Hawaii state total",4003,4081,3563,3705,3576,3514,3455,3556,3600,3645,3742
"15000","8","CA25N","200","2001","      Mining","Hawaii state total",551,441,546,548,600,660,736,976,983,1162,1269
"15000","8","CA25N","300","2001","      Utilities","Hawaii state total",2711,2735,2788,2851,3038,3142,3328,3382,3412,3449,3526
"15000","8","CA25N","400","2001","      Construction","Hawaii state total",33741,33858,36755,39184,45789,49184,51641,50093,43089,39826,39320
"15000","8","CA25N","500","2001","      Manufacturing","Hawaii state total",19665,18390,17882,18531,18653,18657,19058,18292,17519,16478,16859
"15000","8","CA25N","600","2001","      Wholesale trade","Hawaii state total",20490,20061,20505,21155,21959,22158,22301,22552,21728,21482,21258
"15000","8","CA25N","700","2001","      Retail trade","Hawaii state total",84749,80975,81944,84511,87927,88855,89090,87589,84155,82855,83641
"15000","8","CA25N","800","2001","      Transportation and warehousing","Hawaii state total",28966,26809,27324,28811,31849,33816,34336,30472,27575,27049,27518
