"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"06000","8","CA25N","10","2001","Total employment","California state total",19609703,19374351,19506145,19795120,20161425,20514148,20965534,20706409,19914238,19732278,19969266
"06000","8","CA25N","20","2001","  Wage and salary employment","California state total",15712819,15638464,15605446,15707471,15900117,16151887,16289089,16110889,15233396,15047583,15204435
"06000","8","CA25N","40","2001","  Proprietors employment","California state total",3896884,3735887,3900699,4087649,4261308,4362261,4676445,4595520,4680842,4684695,4764831
"06000","8","CA25N","50","2001","    Farm proprietors employment","California state total",81105,76768,69670,66790,65734,63912,67903,68090,67707,67841,67905
"06000","8","CA25N","60","2001","    Nonfarm proprietors employment 2/","California state total",3815779,3659119,3831029,4020859,4195574,4298349,4608542,4527430,4613135,4616854,4696926
"06000","8","CA25N","70","2001","  Farm employment","California state total",289195,316878,310619,277366,244144,222890,235574,224112,228765,237455,228811
"06000","8","CA25N","80","2001","  Nonfarm employment","California state total",19320508,19057473,19195526,19517754,19917281,20291258,20729960,20482297,19685473,19494823,19740455
"06000","8","CA25N","90","2001","    Private nonfarm employment","California state total",16706201,16375753,16516919,16865757,17267290,17619294,18013866,17725529,16955669,16812656,17119105
"06000","8","CA25N","100","2001","      Forestry, fishing, and related activities","California state total",191996,188967,189010,188955,199365,200448,208749,214043,203762,213933,223012
"06000","8","CA25N","200","2001","      Mining","California state total",38894,33597,35988,34834,36563,40442,43356,54989,52446,60398,67315
"06000","8","CA25N","300","2001","      Utilities","California state total",56454,56659,56940,57704,57696,58224,60292,61762,62158,59397,60221
"06000","8","CA25N","400","2001","      Construction","California state total",1084675,1055965,1092287,1172044,1253647,1289555,1248762,1128980,953080,874486,866567
"06000","8","CA25N","500","2001","      Manufacturing","California state total",1872741,1722103,1615656,1602029,1584032,1578443,1549898,1503786,1376853,1323830,1332911
"06000","8","CA25N","600","2001","      Wholesale trade","California state total",733528,722645,722515,736831,764114,790322,804667,791400,732739,727270,740899
